   ,TELEPULES,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
4585,sopron,62905,1401258;1401263;1401267;1401268;1401712;1401718;1401724;1401730;1401736;1401742;1401748;1401755;1401761;1401767;1401773;1401779;1401785;1401791;1401796;1401797,ov,80,160.7400,5
4586,sopron,62923,2833605;2833606,gov,200,95.5900,
4587,sopron,63161,1365187;1365192;1365642;1365643;2846003;2846004,ac,250,47.9800,1
4588,sopron,63163,1350224;1380192;1380197;1380202;1380207;1380212;1380350;1387642;1387643;1390707;1390708;1393293;2811494;2811495;14617659;40816113;40816114,ac,100,269.2300,11
4589,sopron,63424,793038,gov,150,0.5300,
4590,sopron,63520,1355183;1355194;1368072;1368077;1368078;1410822;1410823;1410828;1410829;2824040;2824041,kpe,110,140.9900,
4591,sopron,63523,2813106;2813107,kpe,110,8.4500,
4592,sopron,63524,1409819;2810942;61953550;62706727;62706728,kpe,110,94.6800,
4593,sopron,63568,2843731;2843732,kpe,90,109.6400,
4594,sopron,63586,1359448;1359452;1359453;1359547;1359548;1385948;1390909;1409258;1409259,ov,125,257.3800,
4595,sopron,63727,1377848;1377853;1377858;1377863;1377868;1385841;1385842;2815002;2815003,ac,200,110.2600,
4596,sopron,63899,1359350;1359351;1359356;1359361;1359366;54684539;54684540,kpe,90,44.5500,
4597,sopron,63900,1359383;1359388;1359393;1359398;1359403;1359417;1359796;2840169;2840170;2840197;2840198,kpe,90,102.9800,
4598,sopron,64026,1354569;1354570,kpe,32,39.1100,
4599,sopron,64351,1371436;1371440;1371441,kpe,110,62.0000,
4600,sopron,64398,1351117;1351118;28820748;28820749,kpe,110,76.5600,
4601,sopron,64399,782591,gov,150,3.9600,
4602,sopron,64400,1379648;1379649,ac,150,53.4800,1
4603,sopron,64442,2810551;2826964;2826965,a,50,8.9200,
4604,sopron,64493,785710,kpe,110,106.5200,
4605,sopron,64495,1356274;1356652;1356663;1356669;1387400;1387401;25382797;25382798,ac,100,87.4600,1
4606,sopron,64508,782740,kpe,110,7.7800,
4607,sopron,64509,1374748;1374749,kpe,160,69.6700,
4608,sopron,64537,1350557;1396104;1396105,ov,80,6.8400,
4609,sopron,64541,782334,a,80,0.9600,
4610,sopron,64545,1393794;1405443;1405444;2817244;2817245;6273480;6273481;44859777;44859778,ov,100,88.9700,1
4611,sopron,64642,1396109;1396113;1396119;1396120,pvc,40,74.8000,1
4612,sopron,64651,1372058;1400750;1400751,ac,125,67.3300,
4613,sopron,64844,2812373;2812374,kpe,110,5.5400,
4614,sopron,64987,1370492;1370493;2812048;2812049,kpe,90,63.5200,
4615,sopron,65019,2847550;2847551,kpe,110,5.0200,
4616,sopron,65068,1388916;1388919;1388920,kpe,63,53.1500,
4617,sopron,65366,1368286;2806122;2806123,ac,80,34.0900,1
4618,sopron,65451,1397602;1397608;1397614;1397620;1397626;1397627;1397632;1397638;1397639;1397644;1397650;1407916;1407917;2839872;2839873,kpe,160,126.9100,14
4619,sopron,65452,2823706;2823707,ac,150,37.1000,
4620,sopron,65453,1365050;1365051;1365056;1365061;1365062;2818133;2818134,kpe,110,51.5200,
4621,sopron,65454,1355403;1355413;1355418;1355425;1355431;1355436;1355437;1355442;1355447;1355452;2846409;2846410,kpe,110,87.6300,3
4622,sopron,65455,2823720;2823721,kpe,160,15.1100,
4623,sopron,65456,785870,ac,150,55.1800,
4624,sopron,65457,785868,gov,100,1.6500,
4625,sopron,65458,1362189;1362193;1362198;1362203;2835787;2835788,kpe,110,66.8800,
4626,sopron,65459,1356346;1375717;1388494;1388495;2807033;6273573;6273616;6273617;6273622;6273623,kpe,90,114.6100,
4627,sopron,65460,1390641;2812776;2812777;41636066;42953065;42953066;42953159;42953160,kpe,160,139.0800,
4628,sopron,65461,1350713;1356884;1385811;67614698;67869916;67869925;67869949;67869950,ac,200,1233.5100,
4629,sopron,65462,785819,kpe,160,0.5200,
4630,sopron,65463,2840253;2840254,kpe,160,24.6000,
4631,sopron,65464,2846579;2846580,gov,250,1.5300,
4632,sopron,65465,2846586;2846587,kpe,110,30.0700,
4633,sopron,65467,1354014;1354015,kpe,90,35.7800,
4634,sopron,65468,1375674;1388500;1411299;1411300;2847336;2847337;6273671;6273677;6273678,kpe,90,130.7400,
4635,sopron,65469,785747,kpe,110,1.1400,
4636,sopron,65471,1354495;1354500;1354505;1363477;1363478;1363483;1363489;1363495;1363500;1363955;1363956;1371329;1371330;1373784;1378515;1393562;1393567;1393568;1393629;1393630;1396477;1396483;1396484;1396495;1396496;1405816;1405817;1406047;1406048;6273358;6273359,ov,80,302.7200,2
4637,sopron,65472,785691,kpe,110,3.1000,
4638,sopron,65473,2836806;2836807;58211243;58211244,kpe,160,58.8500,
4639,sopron,65474,2835299,kpe,110,70.4400,
4640,sopron,65475,785627,kpe,110,2.9600,
4641,sopron,65476,1365289;1409717;76719986;76719987,ac,300,304.8600,
4642,sopron,65477,6284812;6284813,ac,250,54.6000,
4643,sopron,65478,1350978;1361783;1361789;1361795;1361801;1361807;1361813;1361820;1361825;1361836;1393313;1405530;1406015;1406016;2832111;2832112;4480990;4480991;6273707;6273708;40531786,ac,200,275.8900,1
4644,sopron,65479,1376488;1378103;1393669;40531463,ov,80,33.2900,
4645,sopron,65480,1397917;1397921;1397926;1397931;1397935;1397936,ac,200,88.1800,
4646,sopron,65481,1367807;1367808;2812993;2812994,gov,150,46.1800,
4647,sopron,65482,2812952;2812953,gov,100,2.3200,
4648,sopron,65483,2843996,ac,400,82.1300,
4649,sopron,65486,783910,ac,150,2.1300,
4650,sopron,65487,783904,ac,50,0.5000,
4651,sopron,65488,1387089;1388026;1389852;1391982;1391983,kpe,160,254.8600,
4652,sopron,65489,1369954;1371752;1371762;1371768;1371779;1371780;1371786;1371792;1371793;1371800;1371805;1371810;1394993;1394994,kpe,110,418.8400,1
4653,sopron,65490,1360710;1360714;1360719;1360737;1360738,kpe,63,69.2700,
4654,sopron,65531,782678,kpe,90,10.6500,
4655,sopron,65532,1409801;1409802;1409812;1410681;1410688;1410695;1410701;1410702;1411285;1411286;11002644;11002645,kpe,110,120.6800,
4656,sopron,65535,1405032;1405037;1405147;1405148;1405154;1405155;1405160;1405161;2813094;2813095,kpe,110,114.7000,
4657,sopron,65549,2842067;2842068,gov,200,92.9800,
4658,sopron,65594,1373053;1373058;1373062;1373068;1373072;1373073;1376187;1376188,kpe,200,86.8600,
4659,sopron,65612,785540,pvc,110,0.4000,
4660,sopron,65613,1350370;1350374;1400156;1400157,ov,80,25.9500,
