,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
2435,45577,1352558;1352563;1352568;1352573;1352582;1352583;1352589;1357108;1357114;1357126;1357131;1359828;1405504;1405505;1405510;1405511;1405516;1405517;1405702;1405703;1405912;1405913;1406075;1411341;1411342;2842786;2842787;6283350;6283351,kpe,110,172.0000,6
2436,46476,1379984;1379987;1379988,ov,80,39.1000,1
2437,46487,1400524;1400525;2806888;2806889,ac,150,34.9100,1
2438,47637,1351004;1372653;1372654;1372659;1372660;1372667;1372671;1372672,kpe,110,150.4300,
2439,45589,1402933;1402934;2842110;2842111,ac,200,270.4300,
2440,46721,2815884;2815885,ac,150,173.2400,
2441,47662,1372469;1372473;1372478;1372482;1372483,kpe,110,129.3100,
2442,44219,1374041;1374045;1374561;1374566;1374571;2847620;2847621,kpe,160,118.3000,
2443,46736,783164,kpe,110,0.3000,
2444,45107,1371231;1371586;1371599;1371605;1371606;1371974;1372130;1385913;1389871;1389872;1399228;1399229;2820240;2820241,kpe,110,143.2900,
2445,44229,2845784;2845785,kpe,110,0.8000,
2446,44255,2846498;2846499,gov,250,62.9500,
2447,45375,1352466;1352476;1352477;1352482;1392698;1392699;1394734;1399293;1399294;1399299;1399317;1399318;1399323;1399335;1399341;1399342;1399347;2828033;2828034;6274127;6274128;6274462;6274463,ac,80,197.8400,5
2448,45382,1358640;1358740;1358751;1358756;1358757;1358762;1358763;1361398;1361404;1361410;1361416;1361422;1361427;1361428;1361433;1361434,kpe,160,207.5400,1
2449,45392,1376928;1376929;68121315,kpe,110,27.2300,
2450,45402,1352751;1352760;1352761;1352772;1352778;1352783;1352784;1352795;1352800;1352801;2846213;2846214,kpe,160,145.1200,
2451,45411,786255,ac,100,64.2800,5
2452,44518,1394820;1403881;1403882;2833399;2833400,ac,125,56.4100,
2453,44533,1349360;1349370;1349376;1349386;1349391;1349392;1349557;1375275;1375276;2833297;2833298;2839909;2839910,kpe,90,243.8900,
2454,46565,2841956;2841957;6273792;6273793;43261891;43261892,gov,200,183.0900,
2455,47465,1369381;1369382;1369387;1369399;1369405;1369411;1369417;1369752;1369758;1369764;1370516;1370517;1370523;1370529;1370535;1370541;1370547;1370553;1370559;1370565;1370571;1370582;1370583;1370590;1370595;1370596;1370603;1370608;1370609;1370615;1370616;1370626;1370627;2811440;2811441;84363837;84363838,kpe,110,245.6100,
2456,48710,1369883;2811307;2811308,gov,400,0.9500,
